43851,1
43852,1
43853,1
43854,2
43855,3
43856,890
43857,772
43858,5
43859,5
43860,461
43861,7
43862,8
43863,11
43864,11
43865,11
43866,12
43867,12
43868,12
43869,1052
43870,12
43871,1209
43872,13
43873,14
43874,15
43875,134
43876,15
43877,15
43878,25
43879,25
43880,25
43881,27
43882,3101
43883,30
43884,351
43885,43
43886,45
43887,60
43888,60
43889,65
43890,70
43891,2283
43892,104
43893,2123
43894,161
43895,228
43896,311
43897,428
43898,547
43899,748
43900,1018
43901,1263
43902,1668
43903,2224
43904,2898
43905,3600
43906,4507
43907,5906
43908,8350
43909,12393
43910,18012
43911,24528
43912,33073
43913,43505
43914,53938
43915,69297
43916,85570
43917,102900
43918,123966
43919,142486
43920,164364
43921,188461
43922,215391
43923,245108
43924,277426
43925,313335
43926,338141
43927,369057
43928,399394
43929,433409
43930,467268
43931,499386
43932,531106
43933,558249
43934,584018
43935,610709
43936,640742
43937,673012
43938,704454
43939,733111
43940,757596
43941,785403
43942,811036
43943,839965
43944,873112
43945,909853
43946,944261
43947,970996
43948,996191
43949,1018846
43950,1045401
43951,1075758
43952,1109728
43953,1139202
43954,1165342
43955,1189499
43956,1211011
43957,1235519
43958,1263995
43959,1291643
43960,1316511
43961,1337920
43962,1354449
43963,1379006
43964,1397894
43965,1424856
43966,1451093
43967,1474752
43968,1493766
43969,1515593
43970,1536570
43971,1559640
43972,1585373
43973,1609172
43974,1631440
43975,1651471
43976,1670571
43977,1690146
43978,1708815
43979,1731365
43980,1755271
43981,1778668
43982,1799302
43983,1821655
43984,1841990
43985,1861977
43986,1884889
43987,1914300
43988,1934818
43989,1953434
43990,1971641
43991,1990446
43992,2013298
43993,2036500
43994,2061993
43995,2087327
43996,2106457
43997,2126574
43998,2151459
43999,2177114
44000,2205173
44001,2238204
44002,2268034
44003,2294413
44004,2324879
44005,2360826
44006,2396928
44007,2438101
44008,2483629
44009,2525928
44010,2565436
44011,2604932
44012,2653321
44013,2703296
44014,2758855
44015,2816009
44016,2866015
44017,2910782
44018,2958098
44019,3012182
44020,3071637
44021,3131526
44022,3199753
44023,3261670
44024,3318279
44025,3380434
44026,3445448
44027,3513790
44028,3589477
44029,3660400
44030,3722851
44031,3785126
44032,3847345
44033,3910291
44034,3980030
44035,4050813
44036,4123561
44037,4190337
44038,4244554
44039,4304255
44040,4366851
44041,4433633
44042,4504259
44043,4571669
44044,4628497
44045,4681289
44046,4726775
44047,4780324
44048,4834047
44049,4891561
44050,4952718
44051,5007958
44052,5056438
44053,5103611
44054,5156968
44055,5213336
44056,5265307
44057,5324784
44058,5375527
44059,5417664
44060,5455187
44061,5498420
44062,5543083
44063,5589670
44064,5637383
44065,5681517
44066,5714552
44067,5754254
44068,5793385
44069,5839169
44070,5885820
44071,5930932
44072,5975541
44073,6008970
44074,6045457
44075,6089506
44076,6121950
44077,6168347
44078,6220448
44079,6262701
44080,6292699
44081,6317865
44082,6346807
44083,6380139
44084,6418200
44085,6465767
44086,6504871
44087,6538793
44088,6575101
44089,6614318
44090,6653586
44091,6698896
44092,6749269
44093,6789594
44094,6825950
44095,6882974
44096,6918293
44097,6959842
44098,7005046
44099,7060356
44100,7102672
44101,7139620
44102,7177603
44103,7220677
44104,7264434
44105,7309153
44106,7362733
44107,7410512
44108,7445575
44109,7509986
44110,7550850
44111,7604399
44112,7662444
44113,7719211
44114,7771401
44115,7815642
44116,7863658
44117,7918051
44118,7977904
44119,8044651
44120,8113721
44121,8166482
44122,8214364
44123,8279804
44124,8340398
44125,8404635
44126,8479765
44127,8565062
44128,8643641
44129,8703356
44130,8777994
44131,8852381
44132,8934263
44133,9024932
44134,9131636
44135,9209007
44136,9283202
44137,9378407
44138,9470330
44139,9579592
44140,9699711
44141,9831874
44142,9957805
44143,10061128
44144,10191572
44145,10331256
44146,10474295
44147,10637946
44148,10819442
44149,10978475
44150,11113661
44151,11280224
44152,11441855
44153,11614135
44154,11801643
44155,12000502
44156,12172435
44157,12313229
44158,12492852
44159,12673359
44160,12851300
44161,12954294
44162,13162328
44163,13313057
44164,13447663
44165,13615321
44166,13799549
44167,14000721
44168,14218459
44169,14449827
44170,14655535
44171,14827456
44172,15031979
44173,15251693
44174,15471409
44175,15697131
44176,15977147
44177,16184679
44178,16368898
44179,16569783
44180,16772936
44181,17017763
44182,17255472
44183,17506662
44184,17700567
44185,17882477
44186,18081996
44187,18283633
44188,18511396
44189,18704907
44190,18805838
44191,19022699
44192,19174788
44193,19363798
44194,19565755
44195,19793777
44196,20024801
